Джерело,"Чи є ви експертом в сфері енергетики?

Надайте інформацію з точки зору наявності підстав у розрізі освіти, кваліфікації, професійного досвіду вважати вас експертом в сфері енергетики на рівні експерта в предметній області.","Чи маєте ви досвід створення тестових завдань для курсів контролю знань персоналу енергетичних підприємств?

Надайте інформацію з точки зору участі у створенні курсів контролю знань персоналу енергетичних підприємств.","Чи створюєте ви тестові завдання в комп'ютерній системі контролю знань?

Надайте інформацію з точки зору використання для створення курсів контролю знань комп’ютерної системи контролю знань, наприклад автоматизованої системи комп'ютерного навчання і контр","Скільки часу в хвилинах ви витрачаєте на ініцюювання створення тестового завдання?

Якщо виділити у створенні тестового завдання етапи ініціювання, формулювання, рецензування, надайте інформацію стосовно етапу ініціювання з точки зору наявного практичного","Скільки часу в хвилинах ви витрачаєте на формулювання тестового завдання у складі запитання, правильних варіантів відповіді, неправильних варіантів відповіді, позначення правильних варіантів відповіді?

Якщо виділити у створенні тестового завдання етапи і","Скільки часу в хвилинах ви витрачаєте на рецензування сформульованого тестового завдання?

Якщо виділити у створенні тестового завдання етапи ініціювання, формулювання, рецензування, надайте інформацію стосовно етапу рецензування з точки зору наявного пра"
Експерт 5,Так,Так,Так,1,15,5
Експерт 8,Так,Так,Так,1,10,1
Експерт 9,Так,Так,Так,1,12,4
Експерт 10,Так,Так,Так,1,14,2
Експерт 13,Так,Так,Так,1,8,3
Експерт 15,Так,Так,Так,1,15,3
Експерт 16,Так,Так,Так,1,13,5
Експерт 17,Так,Так,Так,1,6,1
Експерт 20,Так,Так,Так,1,12,4
Експерт 21,Так,Так,Так,1,10,2
Експерт 23,Так,Так,Так,1,15,3
Експерт 25,Так,Так,Так,1,11,3
Експерт 26,Так,Так,Так,1,14,5
Експерт 30,Так,Так,Так,1,9,1
Експерт 32,Так,Так,Так,1,12,4
Експерт 33,Так,Так,Так,1,13,2
Експерт 34,Так,Так,Так,1,15,3
Експерт 37,Так,Так,Так,1,6,2
Експерт 39,Так,Так,Так,1,10,5
Експерт 40,Так,Так,Так,1,12,1
Експерт 41,Так,Так,Так,1,14,4
Експерт 43,Так,Так,Так,1,15,2
Експерт 44,Так,Так,Так,1,10,3
Експерт 45,Так,Так,Так,1,13,3
Експерт 47,Так,Так,Так,1,12,4
Експерт 48,Так,Так,Так,1,15,2